instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
es,2025-08,trades_all,corrected,decision_T,0,0,546609,0,0
es,2025-08,trades_all,corrected,prev_row_B,424624,0,546609,,
es,2025-08,trades_buy,corrected,decision_T,0,0,546609,0,0
es,2025-08,trades_buy,corrected,prev_row_B,0,0,546609,,
es,2025-08,trades_sell,corrected,decision_T,0,0,546609,0,0
es,2025-08,trades_sell,corrected,prev_row_B,424624,0,546609,,
es,2025-08,trades_large,corrected,decision_T,0,0,546609,0,0
es,2025-08,trades_large,corrected,prev_row_B,186229,0,546609,,
es,2025-08,trades_all,contaminated,decision_T,424624,0,546610,,
es,2025-08,trades_buy,contaminated,decision_T,0,0,546610,,
es,2025-08,trades_sell,contaminated,decision_T,424624,0,546610,,
es,2025-08,trades_large,contaminated,decision_T,186229,0,546610,,
es,2025-08,mbo_all,corrected,decision_T,0,6,546609,0,6
es,2025-08,mbo_all,corrected,prev_row_B,524929,289,546609,,
es,2025-08,mbo_bid_add,corrected,decision_T,0,4,546609,0,4
es,2025-08,mbo_bid_add,corrected,prev_row_B,513061,137,546609,,
es,2025-08,mbo_ask_add,corrected,decision_T,0,2,546609,0,2
es,2025-08,mbo_ask_add,corrected,prev_row_B,512005,152,546609,,
es,2025-08,mbo_bid_cancel,corrected,decision_T,0,0,546609,0,0
es,2025-08,mbo_bid_cancel,corrected,prev_row_B,511428,0,546609,,
es,2025-08,mbo_ask_cancel,corrected,decision_T,0,0,546609,0,0
es,2025-08,mbo_ask_cancel,corrected,prev_row_B,510248,0,546609,,
es,2025-08,mbo_cancel_any,corrected,decision_T,0,0,546609,0,0
es,2025-08,mbo_cancel_any,corrected,prev_row_B,519749,0,546609,,
es,2025-08,mbo_all_rows,corrected,decision_T,0,6,546609,0,6
es,2025-08,mbo_all_rows,corrected,prev_row_B,525628,289,546609,,
es,2025-08,mbo_all,contaminated,decision_T,524929,290,546610,,
es,2025-08,mbo_bid_add,contaminated,decision_T,513061,138,546610,,
es,2025-08,mbo_ask_add,contaminated,decision_T,512005,152,546610,,
es,2025-08,mbo_bid_cancel,contaminated,decision_T,511428,0,546610,,
es,2025-08,mbo_ask_cancel,contaminated,decision_T,510248,0,546610,,
es,2025-08,mbo_cancel_any,contaminated,decision_T,519749,0,546610,,
es,2025-08,mbo_all_rows,contaminated,decision_T,525628,290,546610,,
