instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
he,2025-08,trades_all,corrected,decision_T,0,0,308710,0,0
he,2025-08,trades_all,corrected,prev_row_B,29188,0,308710,,
he,2025-08,trades_buy,corrected,decision_T,0,0,308710,0,0
he,2025-08,trades_buy,corrected,prev_row_B,0,0,308710,,
he,2025-08,trades_sell,corrected,decision_T,0,0,308710,0,0
he,2025-08,trades_sell,corrected,prev_row_B,29188,0,308710,,
he,2025-08,trades_large,corrected,decision_T,0,0,308710,0,0
he,2025-08,trades_large,corrected,prev_row_B,1485,0,308710,,
he,2025-08,trades_all,contaminated,decision_T,29188,0,308711,,
he,2025-08,trades_buy,contaminated,decision_T,0,0,308711,,
he,2025-08,trades_sell,contaminated,decision_T,29188,0,308711,,
he,2025-08,trades_large,contaminated,decision_T,1485,0,308711,,
he,2025-08,mbo_all,corrected,decision_T,0,15,308710,0,15
he,2025-08,mbo_all,corrected,prev_row_B,100848,20,308710,,
he,2025-08,mbo_bid_add,corrected,decision_T,0,5,308710,0,5
he,2025-08,mbo_bid_add,corrected,prev_row_B,50259,8,308710,,
he,2025-08,mbo_ask_add,corrected,decision_T,0,4,308710,0,4
he,2025-08,mbo_ask_add,corrected,prev_row_B,50764,4,308710,,
he,2025-08,mbo_bid_cancel,corrected,decision_T,0,4,308710,0,4
he,2025-08,mbo_bid_cancel,corrected,prev_row_B,46003,5,308710,,
he,2025-08,mbo_ask_cancel,corrected,decision_T,0,0,308710,0,0
he,2025-08,mbo_ask_cancel,corrected,prev_row_B,45429,1,308710,,
he,2025-08,mbo_cancel_any,corrected,decision_T,0,4,308710,0,4
he,2025-08,mbo_cancel_any,corrected,prev_row_B,65709,6,308710,,
he,2025-08,mbo_all,contaminated,decision_T,100848,21,308711,,
he,2025-08,mbo_bid_add,contaminated,decision_T,50259,8,308711,,
he,2025-08,mbo_ask_add,contaminated,decision_T,50764,4,308711,,
he,2025-08,mbo_bid_cancel,contaminated,decision_T,46003,6,308711,,
he,2025-08,mbo_ask_cancel,contaminated,decision_T,45429,1,308711,,
he,2025-08,mbo_cancel_any,contaminated,decision_T,65709,7,308711,,
