instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
zc,2025-08,trades_all,corrected,decision_T,23755,3,554303,23755,3
zc,2025-08,trades_all,corrected,prev_row_B,92136,3,554303,,
zc,2025-08,trades_buy,corrected,decision_T,0,0,554303,0,0
zc,2025-08,trades_buy,corrected,prev_row_B,0,0,554303,,
zc,2025-08,trades_sell,corrected,decision_T,23755,3,554303,23755,3
zc,2025-08,trades_sell,corrected,prev_row_B,92136,3,554303,,
zc,2025-08,trades_large,corrected,decision_T,5567,0,554303,5567,0
zc,2025-08,trades_large,corrected,prev_row_B,20546,0,554303,,
zc,2025-08,trades_all,contaminated,decision_T,92136,3,554304,,
zc,2025-08,trades_buy,contaminated,decision_T,0,0,554304,,
zc,2025-08,trades_sell,contaminated,decision_T,92136,3,554304,,
zc,2025-08,trades_large,contaminated,decision_T,20546,0,554304,,
zc,2025-08,mbo_all,corrected,decision_T,90868,2857,554303,90868,2857
zc,2025-08,mbo_all,corrected,prev_row_B,314170,3209,554303,,
zc,2025-08,mbo_bid_add,corrected,decision_T,46280,1040,554303,46280,1040
zc,2025-08,mbo_bid_add,corrected,prev_row_B,175168,1187,554303,,
zc,2025-08,mbo_ask_add,corrected,decision_T,47496,1807,554303,47496,1807
zc,2025-08,mbo_ask_add,corrected,prev_row_B,172165,2011,554303,,
zc,2025-08,mbo_bid_cancel,corrected,decision_T,34610,6,554303,34610,6
zc,2025-08,mbo_bid_cancel,corrected,prev_row_B,131552,6,554303,,
zc,2025-08,mbo_ask_cancel,corrected,decision_T,34311,4,554303,34311,4
zc,2025-08,mbo_ask_cancel,corrected,prev_row_B,129614,4,554303,,
zc,2025-08,mbo_cancel_any,corrected,decision_T,53074,9,554303,53074,9
zc,2025-08,mbo_cancel_any,corrected,prev_row_B,196174,9,554303,,
zc,2025-08,mbo_all,contaminated,decision_T,314170,3210,554304,,
zc,2025-08,mbo_bid_add,contaminated,decision_T,175168,1188,554304,,
zc,2025-08,mbo_ask_add,contaminated,decision_T,172165,2011,554304,,
zc,2025-08,mbo_bid_cancel,contaminated,decision_T,131552,6,554304,,
zc,2025-08,mbo_ask_cancel,contaminated,decision_T,129614,4,554304,,
zc,2025-08,mbo_cancel_any,contaminated,decision_T,196174,9,554304,,
