instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
cl,2025-01,trades_all,corrected,decision_T,21770,0,801410,21770,0
cl,2025-01,trades_all,corrected,prev_row_B,232865,0,801410,,
cl,2025-01,trades_buy,corrected,decision_T,0,0,801410,0,0
cl,2025-01,trades_buy,corrected,prev_row_B,0,0,801410,,
cl,2025-01,trades_sell,corrected,decision_T,21770,0,801410,21770,0
cl,2025-01,trades_sell,corrected,prev_row_B,232865,0,801410,,
cl,2025-01,trades_large,corrected,decision_T,1594,0,801410,1594,0
cl,2025-01,trades_large,corrected,prev_row_B,14268,0,801410,,
cl,2025-01,trades_all,contaminated,decision_T,232865,0,801411,,
cl,2025-01,trades_buy,contaminated,decision_T,0,0,801411,,
cl,2025-01,trades_sell,contaminated,decision_T,232865,0,801411,,
cl,2025-01,trades_large,contaminated,decision_T,14268,0,801411,,
cl,2025-01,mbo_all,corrected,decision_T,53249,2194,801410,53249,2194
cl,2025-01,mbo_all,corrected,prev_row_B,534779,3204,801410,,
cl,2025-01,mbo_bid_add,corrected,decision_T,40600,1259,801410,40600,1259
cl,2025-01,mbo_bid_add,corrected,prev_row_B,421352,1805,801410,,
cl,2025-01,mbo_ask_add,corrected,decision_T,40435,927,801410,40435,927
cl,2025-01,mbo_ask_add,corrected,prev_row_B,420221,1367,801410,,
cl,2025-01,mbo_bid_cancel,corrected,decision_T,39581,2,801410,39581,2
cl,2025-01,mbo_bid_cancel,corrected,prev_row_B,415077,13,801410,,
cl,2025-01,mbo_ask_cancel,corrected,decision_T,39559,6,801410,39559,6
cl,2025-01,mbo_ask_cancel,corrected,prev_row_B,415311,19,801410,,
cl,2025-01,mbo_cancel_any,corrected,decision_T,46643,8,801410,46643,8
cl,2025-01,mbo_cancel_any,corrected,prev_row_B,480191,32,801410,,
cl,2025-01,mbo_all_rows,corrected,decision_T,54341,2197,801410,54341,2197
cl,2025-01,mbo_all_rows,corrected,prev_row_B,545832,3210,801410,,
cl,2025-01,mbo_all,contaminated,decision_T,534779,3205,801411,,
cl,2025-01,mbo_bid_add,contaminated,decision_T,421352,1806,801411,,
cl,2025-01,mbo_ask_add,contaminated,decision_T,420221,1367,801411,,
cl,2025-01,mbo_bid_cancel,contaminated,decision_T,415077,13,801411,,
cl,2025-01,mbo_ask_cancel,contaminated,decision_T,415311,19,801411,,
cl,2025-01,mbo_cancel_any,contaminated,decision_T,480191,32,801411,,
cl,2025-01,mbo_all_rows,contaminated,decision_T,545832,3211,801411,,
