instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
gc,2025-01,trades_all,corrected,decision_T,13907,3,761736,13907,3
gc,2025-01,trades_all,corrected,prev_row_B,210374,35,761736,,
gc,2025-01,trades_buy,corrected,decision_T,0,0,761736,0,0
gc,2025-01,trades_buy,corrected,prev_row_B,0,0,761736,,
gc,2025-01,trades_sell,corrected,decision_T,13907,3,761736,13907,3
gc,2025-01,trades_sell,corrected,prev_row_B,210374,35,761736,,
gc,2025-01,trades_large,corrected,decision_T,267,0,761736,267,0
gc,2025-01,trades_large,corrected,prev_row_B,3280,1,761736,,
gc,2025-01,trades_all,contaminated,decision_T,210374,35,761737,,
gc,2025-01,trades_buy,contaminated,decision_T,0,0,761737,,
gc,2025-01,trades_sell,contaminated,decision_T,210374,35,761737,,
gc,2025-01,trades_large,contaminated,decision_T,3280,1,761737,,
gc,2025-01,mbo_all,corrected,decision_T,37065,1853,761736,37065,1853
gc,2025-01,mbo_all,corrected,prev_row_B,523228,2712,761736,,
gc,2025-01,mbo_bid_add,corrected,decision_T,26290,1068,761736,26290,1068
gc,2025-01,mbo_bid_add,corrected,prev_row_B,384039,1490,761736,,
gc,2025-01,mbo_ask_add,corrected,decision_T,25919,767,761736,25919,767
gc,2025-01,mbo_ask_add,corrected,prev_row_B,380700,1136,761736,,
gc,2025-01,mbo_bid_cancel,corrected,decision_T,25095,10,761736,25095,10
gc,2025-01,mbo_bid_cancel,corrected,prev_row_B,376465,26,761736,,
gc,2025-01,mbo_ask_cancel,corrected,decision_T,24993,5,761736,24993,5
gc,2025-01,mbo_ask_cancel,corrected,prev_row_B,375572,24,761736,,
gc,2025-01,mbo_cancel_any,corrected,decision_T,30403,15,761736,30403,15
gc,2025-01,mbo_cancel_any,corrected,prev_row_B,448387,50,761736,,
gc,2025-01,mbo_all,contaminated,decision_T,523228,2713,761737,,
gc,2025-01,mbo_bid_add,contaminated,decision_T,384039,1490,761737,,
gc,2025-01,mbo_ask_add,contaminated,decision_T,380700,1137,761737,,
gc,2025-01,mbo_bid_cancel,contaminated,decision_T,376465,26,761737,,
gc,2025-01,mbo_ask_cancel,contaminated,decision_T,375572,24,761737,,
gc,2025-01,mbo_cancel_any,contaminated,decision_T,448387,50,761737,,
