instrument,month,class,side,boundary,strict,equal,rows,gap_strict,gap_equal
zs,2025-08,trades_all,corrected,decision_T,17717,2,465381,17717,2
zs,2025-08,trades_all,corrected,prev_row_B,88011,3,465381,,
zs,2025-08,trades_buy,corrected,decision_T,0,0,465381,0,0
zs,2025-08,trades_buy,corrected,prev_row_B,0,0,465381,,
zs,2025-08,trades_sell,corrected,decision_T,17717,2,465381,17717,2
zs,2025-08,trades_sell,corrected,prev_row_B,88011,3,465381,,
zs,2025-08,trades_large,corrected,decision_T,4511,0,465381,4511,0
zs,2025-08,trades_large,corrected,prev_row_B,21071,0,465381,,
zs,2025-08,trades_all,contaminated,decision_T,88011,3,465382,,
zs,2025-08,trades_buy,contaminated,decision_T,0,0,465382,,
zs,2025-08,trades_sell,contaminated,decision_T,88011,3,465382,,
zs,2025-08,trades_large,contaminated,decision_T,21071,0,465382,,
zs,2025-08,mbo_all,corrected,decision_T,64404,2161,465381,64404,2161
zs,2025-08,mbo_all,corrected,prev_row_B,296502,2724,465381,,
zs,2025-08,mbo_bid_add,corrected,decision_T,39806,624,465381,39806,624
zs,2025-08,mbo_bid_add,corrected,prev_row_B,196791,801,465381,,
zs,2025-08,mbo_ask_add,corrected,decision_T,39319,1526,465381,39319,1526
zs,2025-08,mbo_ask_add,corrected,prev_row_B,192217,1911,465381,,
zs,2025-08,mbo_bid_cancel,corrected,decision_T,34379,5,465381,34379,5
zs,2025-08,mbo_bid_cancel,corrected,prev_row_B,173403,5,465381,,
zs,2025-08,mbo_ask_cancel,corrected,decision_T,33614,4,465381,33614,4
zs,2025-08,mbo_ask_cancel,corrected,prev_row_B,167470,4,465381,,
zs,2025-08,mbo_cancel_any,corrected,decision_T,46125,8,465381,46125,8
zs,2025-08,mbo_cancel_any,corrected,prev_row_B,225561,8,465381,,
zs,2025-08,mbo_all,contaminated,decision_T,296502,2725,465382,,
zs,2025-08,mbo_bid_add,contaminated,decision_T,196791,801,465382,,
zs,2025-08,mbo_ask_add,contaminated,decision_T,192217,1911,465382,,
zs,2025-08,mbo_bid_cancel,contaminated,decision_T,173403,6,465382,,
zs,2025-08,mbo_ask_cancel,contaminated,decision_T,167470,4,465382,,
zs,2025-08,mbo_cancel_any,contaminated,decision_T,225561,9,465382,,
