t,x,target
0,-0.42085368820756985,0
1,1.613022675387901,1
2,0.8929068143548262,1
3,1.0192374954150887,1
4,0.5815597868227084,1
5,0.34786813002943207,1
6,-1.9395299345383377,0
7,2.0028484514179357,1
8,0.8966182376172515,1
9,-2.0660610449352395,0
10,-0.6564721825407293,0
11,-2.274485042215059,1
12,1.825780409177962,1
13,0.7948752631983704,1
14,-1.9889094515742565,0
15,0.9017575255566712,0
16,-1.2125547449822884,0
17,-0.2729185983427991,1
18,-1.199840413165934,0
19,-1.3519509619973915,0
20,0.5439407807632141,1
21,-0.37324814448712995,0
22,-0.7308057789014989,0
23,0.1911420528229869,1
24,-0.6826448456760325,1
25,-0.36285093428562865,0
26,-0.3121693521907644,0
27,1.1408920716814916,1
28,-0.49854512157165853,1
29,-0.517882812165026,1
30,-0.40262501740428625,0
31,-1.3286465412348536,0
32,-0.9356846735061568,0
33,-0.26555363264939413,1
34,0.25527049223100645,1
35,0.8523615556662637,1
36,1.8052877937189193,1
37,0.7532475785735465,1
38,1.399162271782972,1
39,0.9104015524934949,1
40,0.24527977701401374,1
41,-0.39229163704228276,1
42,-0.3356372300565475,1
43,-0.0310187377667005,0
44,-1.3226817269562963,0
45,-0.3333849322711728,0
46,-0.09021411050849562,0
47,0.4906669521032281,0
48,1.8460508455624898,1
49,1.0275956303098992,1
50,-0.4952015908796342,1
51,-1.516962005933778,0
52,-0.6486660925208019,1
53,-1.1570171778839438,0
54,1.1327691060386997,1
55,-0.6930218441880223,0
56,-0.7676425617143207,0
57,0.15908383830574213,0
58,-0.6702526074613633,1
59,-0.9151617645650998,0
60,-0.6431090334686396,1
61,0.8863588451781428,1
62,-0.12824417183988035,0
63,-1.1022612382255375,0
64,-0.7062942748180077,0
65,1.7672606188593347,0
66,0.14864273488825014,1
67,-1.039175453956477,0
68,0.6927170028329721,1
69,-0.4241262204323534,1
70,-0.39255460406541565,1
71,-1.5597207899933925,0
72,-1.325993783693624,0
73,1.211654512484817,1
74,0.9168330060520383,0
75,0.18096313146473186,1
76,0.48417216347640457,1
77,-1.0565620961265791,0
78,-0.6943673244767868,0
79,0.0076854215682692455,0
80,0.860551178660041,1
81,-0.08109286097410451,0
82,-0.286060339385803,0
83,1.2596924261082343,0
84,-1.6192422490772818,0
85,0.7875534149085914,1
86,-0.16866902467066006,1
87,-1.3223763591431117,0
88,0.2726473467882109,0
89,-0.22380278848092944,0
90,-1.1714970607978088,1
91,-0.04227460788854143,1
92,1.4598059548430002,1
93,0.09507949874035082,0
94,-0.052776940763878566,1
95,0.16389780916751012,1
96,1.194727708526297,1
97,0.4839847159935177,1
98,-0.15831790491305842,0
99,0.3922053415952239,1
100,-0.4585076977106269,0
101,-0.1886529327230458,1
102,-0.015827665426404347,0
103,-0.5038358169388815,0
104,-0.3147066973676518,0
105,-0.034149699269830386,0
106,0.5306032751268304,1
107,-1.7553177181938413,0
108,-0.3427093279713185,0
109,0.4366598930658017,1
110,0.21294488371652087,1
111,-1.0557998329709268,1
112,0.5852542748038659,1
113,-1.1812205517458665,0
114,-2.1947687660644735,0
115,-0.1833317268527649,0
116,0.3909302798104299,0
117,0.8683415602281217,0
118,-0.24180851991211882,0
119,-0.8298039157181243,0
120,0.2376586272974101,1
121,0.813740829651868,1
122,-0.546487771903517,0
123,0.646255262855484,1
124,0.20363999777186986,0
125,0.955084462372453,1
126,-0.4142690120199374,1
127,-1.0884959325743095,0
128,1.2698070229876353,1
129,0.24732739754841376,0
130,-0.032496408656190856,0
131,1.172424461814236,1
132,-0.8884963772201273,1
133,0.16383294009302796,1
134,0.3823224461674537,0
135,-0.34397913502044847,0
136,0.0008860348283576958,0
137,1.533656299915644,0
138,0.2957181028210789,1
139,-0.15747623423875043,0
140,-2.0581722966841953,0
141,-1.4881453972247358,0
142,1.3724914006863993,0
143,0.3953020687315415,0
144,1.139223663161764,1
145,0.6013749705697535,1
146,-1.6694945147875464,0
147,0.020147107764070055,0
148,0.5970636675295591,1
149,0.8493499211138573,1
150,-0.15024848800283205,0
151,0.9615687754449103,0
152,0.7070611816944817,1
153,-0.8722217081225926,0
154,-0.7045109296816324,1
155,0.1507943703998867,1
156,-0.4945606595899822,0
157,-1.9024339702742297,0
158,-0.22901604560009967,1
159,-1.6144069202206413,0
160,1.0284263188245453,0
161,1.4105343881648726,1
162,-0.09070075671116562,0
163,1.4595183225602877,1
164,0.05172741264592945,0
165,-1.187772351007633,0
166,-0.9677696790312927,0
167,-1.2304640089578924,0
168,-0.7324124735514383,0
169,-0.4005897494473922,0
170,0.30127803378817297,1
171,0.3443265717397894,1
172,-0.23581249547101035,0
173,-0.7824739276372626,0
174,0.22224985262611713,0
175,-0.7281618575844417,0
176,1.3880054426972586,1
177,1.5058848313849293,1
178,-0.3674205761767355,0
179,-1.2837313299365836,0
180,0.2586683846801555,0
181,-0.9904103476982989,0
182,-1.2173265320547535,0
183,0.28128989111131786,0
184,0.7296650658797421,1
185,-0.4715336546851543,0
186,-1.3367140442280891,0
187,-0.8793012519895856,0
188,-0.7211638770005397,0
189,-0.960401302247218,0
190,0.5211061800903434,0
191,-0.6625661176362112,0
192,1.0368008233649284,1
193,0.9984082324161272,1
194,-0.630380389730648,0
195,0.9896318808355163,1
196,-1.1367408124303129,0
197,0.7499153599267194,1
198,0.3892423866530575,0
199,-1.3673884671765897,1
200,-0.7720337202315072,1
201,-1.1757502196967708,0
202,0.7868206500646417,0
203,0.1836519376303699,1
204,0.1454434338706622,1
205,-0.15382127623297684,1
206,-1.1396969642080763,0
207,-1.5922615155925703,0
208,-0.26283421214650193,1
209,-2.891020432803919,0
210,0.3567661277596171,1
211,-0.37050480998547575,0
212,-1.9392959130359058,0
213,-0.23681330987592583,1
214,-0.9073642935298096,0
215,-1.073954573369948,0
216,-0.11543446943265981,1
217,-0.8324404849033831,0
218,0.823390980416727,0
219,0.37195863626113534,0
220,0.45538848622287664,1
221,0.7094637540292493,1
222,-1.1536981613787116,0
223,0.35592509089270996,1
224,1.8078994340008165,1
225,0.5067368241878628,1
226,0.5832325845973607,1
227,0.4756725240660882,0
228,0.06739612257200384,1
229,-0.8282157733266309,1
230,-0.9865941458268876,0
231,0.8768122945678603,1
232,-1.204187285234175,0
233,1.0140926477887982,1
234,1.275339877237046,1
235,-1.26525492913849,1
236,0.10082732077380241,1
237,-1.1349415063326145,0
238,0.8356442751481198,1
239,0.21573918793037516,0
240,1.2194001263936562,1
241,1.6851689984557958,1
242,0.357460049908368,0
243,-0.05387960332855224,1
244,1.115046590405531,1
245,0.7436398025809311,1
246,1.6752695695462607,1
247,-0.2864116884509552,0
248,-0.9262700033457814,0
